     0/299     2.02G    0.1237   0.06316   0.05165    0.2385        23       640 0.0006677   0.06857 0.0002872 3.234e-05    0.1098   0.04228   0.04996
     1/299     2.01G    0.1183   0.06995   0.05055    0.2389        78       640  0.003172      0.04   0.00259 0.0005627    0.1129   0.03846   0.05083
     2/299     2.01G    0.1132   0.07805   0.04957    0.2408        76       640   0.02105   0.08857    0.0082  0.001652    0.1054   0.04095   0.04937
     3/299     2.01G    0.1073   0.07606   0.04868     0.232        99       640   0.01507   0.09048  0.008151  0.002436   0.09739   0.04354     0.048
     4/299     2.01G    0.1036   0.08071   0.04742    0.2317        54       640    0.2905    0.1351   0.04555   0.01174   0.08818   0.04378   0.04652
     5/299     2.01G   0.09602   0.07773   0.04575    0.2195        92       640    0.5456      0.06   0.09166   0.01769   0.08169   0.04135   0.04483
     6/299     2.01G   0.09167   0.07831   0.04369    0.2137        68       640    0.5301    0.1505   0.08919   0.01739   0.07605   0.03964    0.0427
     7/299     2.01G   0.08602   0.07406   0.04301    0.2031       129       640    0.6002    0.1619    0.1842   0.04208   0.07207   0.03626   0.04014
     8/299     2.01G   0.08448   0.07553   0.04165    0.2017       197       640    0.4305     0.281    0.2165    0.0689   0.06726   0.03386    0.0392
     9/299     2.01G   0.08189   0.06696   0.04005    0.1889        64       640     0.404    0.2635    0.2206   0.05795   0.06804   0.03284   0.03814
    10/299     2.01G   0.07919   0.06961   0.03907    0.1879       185       640    0.4084    0.2364    0.2239   0.09481   0.06239   0.03163   0.03657
    11/299     2.01G   0.07807   0.06452   0.03773    0.1803       135       640    0.3665    0.3257    0.2228   0.08046   0.06321   0.03254   0.03468
    12/299     2.01G   0.07713    0.0635   0.03653    0.1772        61       640    0.5728     0.235    0.2921   0.09325   0.06069   0.03264   0.03365
    13/299     2.01G   0.07422   0.06599   0.03475     0.175       114       640    0.5561    0.3421    0.2688   0.08359   0.06333   0.03034   0.02993
    14/299     2.01G   0.08176    0.0615   0.03252    0.1758        86       640    0.4184    0.3493    0.3183     0.107   0.06268    0.0286   0.03067
    15/299     2.01G   0.07623   0.06402   0.03211    0.1724        46       640    0.6603    0.2905    0.2841   0.08285   0.06541   0.02824   0.02887
    16/299     2.01G   0.07582   0.06651   0.02986    0.1722       105       640    0.6801    0.3404    0.3376    0.1067   0.05971   0.02748   0.02705
    17/299     2.01G   0.07707   0.05863   0.02864    0.1643        56       640    0.4368    0.3495    0.3883    0.1295   0.06216   0.02688   0.02711
    18/299     2.01G   0.07447   0.06206   0.02869    0.1652       102       640    0.6417    0.4442    0.4172    0.1482   0.06131   0.02571    0.0262
    19/299     2.01G   0.07342   0.06494   0.02728    0.1656        68       640    0.2516    0.6808    0.3769    0.1193   0.06515   0.02511   0.02539
    20/299     2.01G   0.07574   0.06057   0.02715    0.1635       124       640    0.7044    0.3966    0.4217    0.1409   0.06086   0.02597   0.02447
    21/299     2.01G   0.07327   0.06454   0.02627    0.1641        57       640    0.4476    0.6031    0.4584    0.1796     0.059   0.02504   0.02345
    22/299     2.01G   0.07438   0.05614   0.02541    0.1559        23       640    0.4742    0.5248    0.4523     0.149   0.06367   0.02551   0.02342
    23/299     2.01G   0.07463   0.05867   0.02577    0.1591        72       640     0.412    0.5631    0.4283    0.1474   0.06138   0.02768   0.02355
    24/299     2.01G   0.07025   0.06123   0.02425    0.1557        69       640    0.3658    0.6298    0.4178    0.1539   0.07552   0.02422   0.02177
    25/299     2.01G   0.07843   0.05683   0.02498    0.1602       122       640    0.8009    0.4088    0.5379    0.2002   0.05793   0.02479   0.02203
    26/299     2.01G   0.07013   0.05926   0.02323    0.1526       132       640    0.8737    0.4292    0.5805    0.2459   0.06295   0.02424   0.02037
    27/299     2.01G   0.07453   0.05471   0.02358    0.1528        49       640    0.4715    0.6423    0.5665    0.2166   0.05959   0.02353   0.02046
    28/299     2.01G   0.07206   0.06017   0.02325    0.1555        58       640    0.7674    0.4648    0.4905    0.1804   0.05788   0.02369   0.02047
    29/299     2.01G   0.06843   0.05533   0.02161    0.1454       301       640    0.9228    0.3261    0.5821    0.2333   0.05946   0.02423   0.02138
    30/299     2.01G   0.07864   0.05888   0.02185    0.1594        49       640    0.5958    0.5626    0.5558    0.2339   0.06284   0.02543   0.02021
    31/299     2.01G   0.07059   0.05641   0.02262    0.1496       212       640    0.6509    0.5181       0.5    0.2134   0.06828   0.02377   0.02148
    32/299     2.01G   0.07108   0.05852   0.02361    0.1532        45       640    0.3698    0.6745    0.5779    0.2278    0.0623   0.02589   0.01906
    33/299     2.01G   0.07106   0.06117   0.02147    0.1537       195       640    0.3284    0.6983    0.5288    0.1764   0.06686   0.02396    0.0182
    34/299     2.01G   0.06608   0.05734   0.02052    0.1439       111       640    0.6401    0.6831    0.7032    0.2976   0.05169   0.02403   0.01752
    35/299     2.01G   0.06749    0.0572   0.02002    0.1447        59       640     0.542    0.6726    0.6584    0.3533   0.05389     0.024   0.01646
    36/299     2.01G      0.07   0.05111   0.01949    0.1406       136       640      0.49    0.6831    0.5888    0.2223   0.05887   0.02304    0.0156
    37/299     2.01G   0.06762   0.05937   0.01819    0.1452        75       640     0.588    0.6816    0.6396    0.2138   0.05373   0.02319   0.01517
    38/299     2.01G   0.06654   0.05385   0.01809    0.1385        83       640    0.5328    0.6614    0.6172    0.2076   0.06338   0.02295   0.01392
    39/299     2.01G   0.06985   0.05571   0.01808    0.1436        99       640    0.5385    0.6983     0.601    0.2554   0.05818    0.0236   0.01477
    40/299     2.01G   0.06894   0.05418   0.01886     0.142       131       640    0.7394    0.5533    0.6761    0.2282   0.05568   0.02281   0.01471
    41/299     2.01G   0.06595   0.05909   0.01648    0.1415       123       640    0.6821    0.6332    0.7023    0.2919   0.05532   0.02219   0.01401
    42/299     2.01G   0.06193   0.05645   0.01638    0.1348       111       640    0.6894    0.6611    0.6924    0.3374   0.05101   0.02277   0.01401
    43/299     2.01G   0.06395   0.05503   0.01633    0.1353       107       640    0.7265    0.6798     0.644    0.2944   0.05422    0.0222   0.01308
    44/299     2.01G   0.06773   0.05414   0.01616     0.138        57       640    0.8123     0.642    0.7064     0.304   0.05535   0.02318   0.01356
    45/299     2.01G   0.06559   0.05494   0.01542    0.1359        96       640    0.7501    0.7114    0.7464     0.388   0.05049   0.02172   0.01261
    46/299     2.01G   0.05755   0.05475    0.0147     0.127        80       640    0.8104    0.7135    0.7424    0.4007   0.04613    0.0213   0.01314
    47/299     2.01G   0.05769   0.05752   0.01556    0.1308       144       640    0.8221    0.6231    0.7174    0.4027   0.04651   0.02211   0.01262
    48/299     2.01G   0.05986   0.05964   0.01536    0.1349        43       640    0.7886    0.7039    0.7301    0.4036   0.05027   0.02202   0.01255
    49/299     2.01G   0.05861   0.05255   0.01408    0.1252        64       640    0.9108    0.7031    0.7363    0.4118   0.04707   0.02187   0.01166
    50/299     2.01G   0.05499   0.05158   0.01348    0.1201        97       640    0.9777    0.7222    0.7784    0.4252   0.04566   0.02199   0.01177
    51/299     2.01G   0.05728   0.05557    0.0139    0.1268        54       640    0.8022    0.7714    0.7598    0.4228   0.04959   0.02249   0.01184
    52/299     2.01G   0.05949   0.06101   0.01483    0.1353       377       640    0.8524    0.7095     0.721    0.3677   0.04847   0.02211   0.01202
    53/299     2.01G   0.05879   0.05493   0.01371    0.1274       103       640    0.8729    0.7089    0.7683    0.4371   0.04617   0.02237   0.01132
    54/299     2.01G   0.05628   0.05734   0.01367    0.1273       123       640    0.8001    0.7318    0.7465    0.3851   0.04684   0.02181     0.011
    55/299     2.01G   0.05619   0.05428   0.01305    0.1235       130       640     0.826    0.7319    0.7662    0.4503   0.04379   0.02168   0.01157
    56/299     2.01G   0.05455   0.05703   0.01274    0.1243       110       640    0.8053    0.7026    0.7569     0.425   0.04523   0.02063   0.01234
    57/299     2.01G   0.05305   0.04793   0.01265    0.1136        96       640    0.8443    0.6864    0.7484    0.4172   0.04735   0.02077   0.01163
